head entity id	Relation_id	tail entity id
1166	3	1729
1729	3	1166
1166	3	1924
1924	3	1166
1166	3	1778
1778	3	1166
1166	3	1767
1767	3	1166
1166	3	1689
1689	3	1166
1167	3	1645
1645	3	1167
1197	3	1736
1736	3	1197
1197	3	1663
1663	3	1197
1197	3	1713
1713	3	1197
1197	3	1684
1684	3	1197
1197	3	1624
1624	3	1197
1197	3	1745
1745	3	1197
1197	3	1978
1978	3	1197
1197	3	1726
1726	3	1197
1197	3	1794
1794	3	1197
1197	3	2041
2041	3	1197
1197	3	1791
1791	3	1197
1197	3	1802
1802	3	1197
1197	3	1662
1662	3	1197
1197	3	2009
2009	3	1197
1197	3	1967
1967	3	1197
1197	3	1679
1679	3	1197
1197	3	1682
1682	3	1197
1197	3	1922
1922	3	1197
1197	3	1648
1648	3	1197
1197	3	1792
1792	3	1197
1197	3	1628
1628	3	1197
1197	3	1861
1861	3	1197
1197	3	2016
2016	3	1197
1197	3	1622
1622	3	1197
1197	3	1706
1706	3	1197
1197	3	1787
1787	3	1197
1197	3	1819
1819	3	1197
1197	3	2005
2005	3	1197
1197	3	1920
1920	3	1197
1197	3	1773
1773	3	1197
1197	3	1798
1798	3	1197
1197	3	1854
1854	3	1197
1197	3	1898
1898	3	1197
1197	3	1733
1733	3	1197
1197	3	1847
1847	3	1197
1197	3	1732
1732	3	1197
1197	3	1714
1714	3	1197
1197	3	1633
1633	3	1197
1197	3	1639
1639	3	1197
1197	3	1943
1943	3	1197
1197	3	1807
1807	3	1197
1197	3	1615
1615	3	1197
1197	3	1619
1619	3	1197
1197	3	1806
1806	3	1197
1197	3	1814
1814	3	1197
1200	3	1644
1644	3	1200
1208	3	1611
1611	3	1208
1208	3	1807
1807	3	1208
1208	3	1810
1810	3	1208
1208	3	1888
1888	3	1208
1208	3	1972
1972	3	1208
1208	3	1667
1667	3	1208
1208	3	1763
1763	3	1208
1208	3	1765
1765	3	1208
1208	3	1640
1640	3	1208
1208	3	1849
1849	3	1208
1208	3	1970
1970	3	1208
1208	3	1884
1884	3	1208
1208	3	1891
1891	3	1208
1208	3	1692
1692	3	1208
1208	3	1641
1641	3	1208
1208	3	1671
1671	3	1208
1208	3	1872
1872	3	1208
1208	3	1908
1908	3	1208
1208	3	2016
2016	3	1208
1208	3	1999
1999	3	1208
1208	3	2037
2037	3	1208
1208	3	1836
1836	3	1208
1208	3	1987
1987	3	1208
1208	3	1943
1943	3	1208
1208	3	1766
1766	3	1208
1208	3	1736
1736	3	1208
1208	3	1658
1658	3	1208
1208	3	1825
1825	3	1208
1208	3	2020
2020	3	1208
1208	3	1921
1921	3	1208
1208	3	1817
1817	3	1208
1208	3	1676
1676	3	1208
1208	3	1911
1911	3	1208
1208	3	1827
1827	3	1208
1208	3	1644
1644	3	1208
1208	3	1843
1843	3	1208
1208	3	2061
2061	3	1208
1208	3	1707
1707	3	1208
1208	3	1846
1846	3	1208
1208	3	1664
1664	3	1208
1225	3	1734
1734	3	1225
1229	3	1859
1859	3	1229
1229	3	1887
1887	3	1229
1229	3	1824
1824	3	1229
1229	3	1788
1788	3	1229
1229	3	2064
2064	3	1229
1229	3	2033
2033	3	1229
1229	3	1936
1936	3	1229
1229	3	1949
1949	3	1229
1229	3	1719
1719	3	1229
1229	3	1825
1825	3	1229
1229	3	1837
1837	3	1229
1229	3	2000
2000	3	1229
1229	3	1912
1912	3	1229
1229	3	1722
1722	3	1229
1229	3	1927
1927	3	1229
1229	3	1934
1934	3	1229
1229	3	1698
1698	3	1229
1229	3	2067
2067	3	1229
1229	3	1850
1850	3	1229
1229	3	1965
1965	3	1229
1229	3	1717
1717	3	1229
1229	3	1835
1835	3	1229
1229	3	1851
1851	3	1229
1229	3	2047
2047	3	1229
1229	3	1843
1843	3	1229
1229	3	2061
2061	3	1229
1235	3	1643
1643	3	1235
1235	3	1676
1676	3	1235
1243	3	1992
1992	3	1243
1244	3	1809
1809	3	1244
1247	3	1771
1771	3	1247
1247	3	1721
1721	3	1247
1247	3	1804
1804	3	1247
1247	3	1751
1751	3	1247
1247	3	1811
1811	3	1247
1247	3	1807
1807	3	1247
1251	3	1719
1719	3	1251
1251	3	2038
2038	3	1251
1251	3	1666
1666	3	1251
1251	3	1784
1784	3	1251
1251	3	1637
1637	3	1251
1251	3	1839
1839	3	1251
1251	3	1631
1631	3	1251
1251	3	1948
1948	3	1251
1251	3	1621
1621	3	1251
1254	3	2027
2027	3	1254
1254	3	1716
1716	3	1254
1254	3	1996
1996	3	1254
1254	3	2034
2034	3	1254
1254	3	1859
1859	3	1254
1254	3	1756
1756	3	1254
1254	3	1861
1861	3	1254
1254	3	1711
1711	3	1254
1254	3	1945
1945	3	1254
1254	3	1718
1718	3	1254
1254	3	1698
1698	3	1254
1254	3	1818
1818	3	1254
1254	3	1828
1828	3	1254
1254	3	1819
1819	3	1254
1254	3	1626
1626	3	1254
1254	3	1616
1616	3	1254
1254	3	1983
1983	3	1254
1254	3	1779
1779	3	1254
1254	3	1799
1799	3	1254
1254	3	1642
1642	3	1254
1254	3	1991
1991	3	1254
1254	3	1961
1961	3	1254
1254	3	1769
1769	3	1254
1254	3	1692
1692	3	1254
1254	3	1840
1840	3	1254
1254	3	1989
1989	3	1254
1254	3	1786
1786	3	1254
1254	3	1669
1669	3	1254
1254	3	1781
1781	3	1254
1254	3	1777
1777	3	1254
1254	3	1726
1726	3	1254
1254	3	1696
1696	3	1254
1262	3	1643
1643	3	1262
1262	3	1649
1649	3	1262
1262	3	2042
2042	3	1262
1262	3	1700
1700	3	1262
1262	3	2023
2023	3	1262
1262	3	1923
1923	3	1262
1262	3	2049
2049	3	1262
1262	3	1805
1805	3	1262
1262	3	2063
2063	3	1262
1262	3	1731
1731	3	1262
1262	3	1797
1797	3	1262
1274	3	2055
2055	3	1274
1288	3	1963
1963	3	1288
1288	3	1612
1612	3	1288
1288	3	1634
1634	3	1288
1288	3	1753
1753	3	1288
1288	3	1717
1717	3	1288
1295	3	1664
1664	3	1295
1295	3	1767
1767	3	1295
1295	3	1651
1651	3	1295
1295	3	1623
1623	3	1295
1295	3	1963
1963	3	1295
1296	3	1939
1939	3	1296
1296	3	1859
1859	3	1296
1296	3	1870
1870	3	1296
1296	3	1815
1815	3	1296
1296	3	1744
1744	3	1296
1296	3	1841
1841	3	1296
1296	3	1698
1698	3	1296
1296	3	1632
1632	3	1296
1296	3	1816
1816	3	1296
1296	3	1902
1902	3	1296
1298	3	2034
2034	3	1298
1298	3	1717
1717	3	1298
1298	3	1841
1841	3	1298
1298	3	1614
1614	3	1298
1298	3	1918
1918	3	1298
1298	3	1857
1857	3	1298
1298	3	1876
1876	3	1298
1298	3	2002
2002	3	1298
1298	3	2024
2024	3	1298
1321	3	1644
1644	3	1321
1321	3	1858
1858	3	1321
1323	3	2034
2034	3	1323
1323	3	1957
1957	3	1323
1323	3	1885
1885	3	1323
1323	3	2067
2067	3	1323
1323	3	1639
1639	3	1323
1323	3	1653
1653	3	1323
1323	3	1835
1835	3	1323
1323	3	1932
1932	3	1323
1323	3	2010
2010	3	1323
1323	3	1779
1779	3	1323
1323	3	1622
1622	3	1323
1323	3	1938
1938	3	1323
1323	3	1823
1823	3	1323
1323	3	1892
1892	3	1323
1323	3	1717
1717	3	1323
1323	3	1740
1740	3	1323
1323	3	1711
1711	3	1323
1323	3	1677
1677	3	1323
1323	3	1804
1804	3	1323
1323	3	1645
1645	3	1323
1323	3	2053
2053	3	1323
1323	3	1721
1721	3	1323
1323	3	2019
2019	3	1323
1323	3	1894
1894	3	1323
1323	3	1635
1635	3	1323
1323	3	1926
1926	3	1323
1323	3	1736
1736	3	1323
1323	3	1856
1856	3	1323
1323	3	1681
1681	3	1323
1323	3	1686
1686	3	1323
1323	3	1755
1755	3	1323
1323	3	1933
1933	3	1323
1323	3	1737
1737	3	1323
1323	3	1860
1860	3	1323
1323	3	1826
1826	3	1323
1323	3	1698
1698	3	1323
1323	3	1842
1842	3	1323
1323	3	1855
1855	3	1323
1323	3	1760
1760	3	1323
1323	3	1962
1962	3	1323
1323	3	1783
1783	3	1323
1323	3	2015
2015	3	1323
1323	3	1969
1969	3	1323
1323	3	1875
1875	3	1323
1323	3	1719
1719	3	1323
1323	3	1716
1716	3	1323
1323	3	1713
1713	3	1323
1323	3	1723
1723	3	1323
1323	3	1830
1830	3	1323
1323	3	1725
1725	3	1323
1323	3	1693
1693	3	1323
1323	3	2025
2025	3	1323
1323	3	1616
1616	3	1323
1323	3	1931
1931	3	1323
1323	3	1774
1774	3	1323
1323	3	1879
1879	3	1323
1323	3	1750
1750	3	1323
1323	3	1943
1943	3	1323
1323	3	2013
2013	3	1323
1323	3	1834
1834	3	1323
1323	3	1754
1754	3	1323
1323	3	1724
1724	3	1323
1334	3	1697
1697	3	1334
1334	3	1886
1886	3	1334
1334	3	2060
2060	3	1334
1334	3	1876
1876	3	1334
1334	3	1866
1866	3	1334
1334	3	2006
2006	3	1334
1334	3	2025
2025	3	1334
1334	3	2036
2036	3	1334
1334	3	1952
1952	3	1334
1334	3	1701
1701	3	1334
1334	3	2028
2028	3	1334
1334	3	1654
1654	3	1334
1334	3	1947
1947	3	1334
1335	3	1644
1644	3	1335
1336	3	1945
1945	3	1336
1336	3	1960
1960	3	1336
1336	3	1619
1619	3	1336
1336	3	1869
1869	3	1336
1336	3	1662
1662	3	1336
1336	3	2018
2018	3	1336
1336	3	1781
1781	3	1336
1336	3	1698
1698	3	1336
1336	3	1630
1630	3	1336
1336	3	1847
1847	3	1336
1336	3	1829
1829	3	1336
1336	3	1713
1713	3	1336
1336	3	1833
1833	3	1336
1336	3	1661
1661	3	1336
1336	3	1875
1875	3	1336
1336	3	1839
1839	3	1336
1336	3	2039
2039	3	1336
1336	3	1890
1890	3	1336
1336	3	2011
2011	3	1336
1336	3	1795
1795	3	1336
1336	3	2004
2004	3	1336
1336	3	1673
1673	3	1336
1336	3	2056
2056	3	1336
1336	3	2022
2022	3	1336
1336	3	1721
1721	3	1336
1336	3	1716
1716	3	1336
1336	3	1697
1697	3	1336
1336	3	1638
1638	3	1336
1336	3	1705
1705	3	1336
1336	3	1657
1657	3	1336
1336	3	2037
2037	3	1336
1336	3	1627
1627	3	1336
1336	3	1677
1677	3	1336
1336	3	1642
1642	3	1336
1336	3	1735
1735	3	1336
1336	3	1887
1887	3	1336
1336	3	1610
1610	3	1336
1336	3	1787
1787	3	1336
1336	3	1964
1964	3	1336
1336	3	1865
1865	3	1336
1336	3	1730
1730	3	1336
1341	3	1748
1748	3	1341
1341	3	1916
1916	3	1341
1349	3	1787
1787	3	1349
1352	3	1650
1650	3	1352
